chr	windowStart	windowEnd	D	f_d	f_dM
chr2L	639857	640694	-0.241079	-1.331345	-0.166836
chr2L	640714	641589	-0.404316	2.312757	-0.404541
chr2L	641598	643218	-0.098916	-0.282881	-0.131103
chr2L	643325	645209	-0.058969	-0.224107	-0.074549
chr2L	645245	647353	-0.169997	-1.408051	-0.220064
chr2L	647429	648367	0.102037	0.139527	0.070670
chr2L	648426	648971	0.223218	0.559224	0.378257
chr2L	649004	650530	-0.095100	-0.548296	-0.106045
chr2L	650567	651725	0.242211	0.482827	0.272238
chr2L	651859	653343	0.359631	0.449425	0.286320
chr2L	653359	654668	0.064344	0.095461	0.052806
chr2L	654727	656192	0.300498	0.345981	0.215413
chr2L	656203	657376	-0.174885	-0.365611	-0.126710
chr2L	657453	658455	-0.231819	-0.278458	-0.131191
chr2L	658460	659875	0.103490	0.156232	0.069448
chr2L	659928	660881	0.017288	0.037252	0.019373
chr2L	660913	661904	0.133164	0.241502	0.159171
chr2L	662045	662828	0.005420	0.019052	0.007106
chr2L	662868	663730	-0.151244	-0.320594	-0.161883
chr2L	663732	665354	-0.246669	-0.351858	-0.199890
chr2L	665392	666285	0.192966	0.470837	0.328864
chr2L	666348	667747	0.086920	0.249973	0.116365
chr2L	667833	668751	0.208524	0.203230	0.168087
chr2L	668897	669575	-0.210957	-0.359380	-0.173063
chr2L	669902	670828	0.004782	0.006962	0.002772
chr2L	670854	672790	0.321398	0.186616	0.148729
chr2L	672946	674617	-0.098390	-0.053631	-0.042551
chr2L	674695	675751	-0.192718	-0.203754	-0.129310
chr2L	675796	676440	-0.121629	-0.155649	-0.092855
chr2L	676483	678022	-0.466196	-4.121506	-0.526577
chr2L	678028	679284	0.301961	0.155193	0.115287
chr2L	679316	680744	0.149330	0.172512	0.110295
chr2L	680880	682165	0.038948	0.033545	0.021232
chr2L	682168	683988	-0.356051	-0.818481	-0.213998
chr2L	684041	685655	-0.226007	-0.407293	-0.177056
chr2L	685658	686895	0.134910	0.143616	0.074156
chr2L	686958	697437	-0.233989	-0.495809	-0.178359
chr2L	697446	698285	-0.480747	-1.610076	-0.424451
chr2L	698349	700291	-0.164946	-0.602439	-0.178718
chr2L	700302	701299	-0.135629	-0.523385	-0.140539
chr2L	701310	702608	0.022614	0.044764	0.024697
chr2L	702613	703547	0.101236	0.203947	0.124555
chr2L	703653	704844	-0.085736	-0.158644	-0.089156
chr2L	704848	705848	0.172465	0.261531	0.162970
chr2L	705877	706391	0.299801	0.449529	0.321057
chr2L	706399	707989	0.102822	0.210506	0.082631
chr2L	708064	709467	0.354189	0.601149	0.244014
chr2L	709492	710741	0.180667	0.280940	0.139236
chr2L	710825	711791	-0.040233	-0.082232	-0.032237
chr2L	711798	712921	0.052762	0.109512	0.053313
chr2L	712961	714148	0.462911	0.497987	0.395533
chr2L	714175	715872	-0.176580	-0.522390	-0.144201
chr2L	715891	716843	0.094681	0.172355	0.098040
chr2L	716866	718171	-0.224043	-0.678746	-0.197872
chr2L	718189	719319	-0.006959	-0.017049	-0.006182
chr2L	719332	719681	0.005844	0.006163	0.004700
chr2L	719734	720594	0.162002	0.344456	0.217376
chr2L	720804	721576	0.337379	0.441134	0.284349
chr2L	721579	722580	0.013515	0.041422	0.011801
chr2L	722635	723828	-0.318178	-4.456596	-0.228521
chr2L	723834	725192	0.172153	0.297954	0.238337
chr2L	725397	726353	0.197833	0.274906	0.195822
chr2L	726392	727234	-0.210004	-0.282261	-0.195386
chr2L	727255	728093	-0.289617	-1.147380	-0.192605
chr2L	728226	729458	-0.262776	-0.256518	-0.121142
chr2L	729602	730572	0.039176	0.057274	0.023426
chr2L	730599	732174	0.080158	0.070717	0.036028
chr2L	732185	732892	0.459290	0.464784	0.331227
chr2L	732921	734033	0.624923	0.151723	0.141662
chr2L	734237	735231	0.310711	0.431348	0.132073
chr2L	735336	736332	-0.216833	-0.314398	-0.151213
chr2L	736383	737036	0.548760	0.520599	0.313161
chr2L	737040	737709	0.706470	0.593223	0.391984
chr2L	737711	738591	0.000943	0.002010	0.000899
chr2L	738642	739840	0.297442	0.253740	0.167732
chr2L	739921	740500	-0.010483	-0.024290	-0.003381
chr2L	740662	741621	0.364087	0.235182	0.179221
chr2L	741817	742371	0.168181	0.135574	0.063820
chr2L	742459	743469	-0.334771	-0.919359	-0.220903
chr2L	743476	744069	-0.374865	-0.651778	-0.117728
chr2L	744072	744852	-0.529858	-0.907297	-0.394298
chr2L	744855	745504	0.003646	0.004619	0.002513
chr2L	745531	746220	0.221197	0.097694	0.065440
chr2L	746228	746755	0.110873	0.142054	0.059314
chr2L	746793	747779	0.181882	0.142927	0.065260
chr2L	747786	748561	0.603289	0.449343	0.222809
chr2L	748591	749645	-0.628917	-3.747061	-0.330253
chr2L	749647	750648	0.389869	0.373609	0.319405
chr2L	750659	751618	0.028436	0.026370	0.016500
chr2L	751631	752826	-0.145304	-0.161425	-0.093748
chr2L	752831	754731	-0.326123	-1.066115	-0.154260
chr2L	755053	755624	0.121756	0.070877	0.056226
chr2L	755637	756304	0.005421	0.003336	0.002789
chr2L	756351	757328	-0.294100	-0.269777	-0.141576
chr2L	757371	757885	0.197133	0.143530	0.138015
chr2L	757986	758425	-0.001896	-0.001632	-0.001282
chr2L	758441	759539	-0.306561	-0.445567	-0.269017
chr2L	759557	760304	-0.512899	-0.967932	-0.399353
chr2L	760355	761236	-0.108049	-0.115399	-0.087212
chr2L	761252	761834	0.000120	0.000142	0.000119
chr2L	761837	762807	-0.186626	-0.505289	-0.129316
chr2L	762829	763430	0.282687	0.378274	0.183501
chr2L	763487	764726	-0.213141	-0.288951	-0.180810
chr2L	764741	765954	-0.219372	-0.199716	-0.121632
chr2L	765961	767066	0.269199	0.225970	0.147970
chr2L	767095	767600	0.350040	0.125621	0.116212
chr2L	767602	768171	0.005997	0.013978	0.007092
chr2L	768175	769729	-0.423485	-2.865456	-0.354016
chr2L	769774	770187	0.052023	0.047592	0.042724
chr2L	770205	773298	-0.167752	-0.162216	-0.085732
chr2L	773326	773802	0.178000	0.393308	0.269643
chr2L	773881	774663	0.591695	0.380555	0.253106
chr2L	774679	775470	0.067929	0.183741	0.087030
chr2L	775529	776334	0.028167	0.029347	0.017887
chr2L	776495	776808	0.076785	0.119028	0.053375
chr2L	776816	777777	-0.342891	-1.741523	-0.260585
chr2L	777785	778907	0.196171	0.268028	0.131535
chr2L	779042	779494	-0.523088	-12.446862	-0.549393
chr2L	779563	780282	0.139370	0.147455	0.096169
chr2L	780388	781097	-0.361277	-7.354338	-0.140325
chr2L	781218	782575	0.206517	0.194012	0.136161
chr2L	782924	783369	-0.142970	-0.204422	-0.083013
chr2L	783380	783827	0.484093	0.434270	0.348588
chr2L	783855	785128	0.371826	0.408869	0.317240
chr2L	785135	786547	0.199280	0.280039	0.190218
chr2L	786625	787380	-0.099397	-0.189604	-0.088782
chr2L	787389	788253	-0.105161	-0.268279	-0.093760
chr2L	788262	788945	-0.021509	-0.060895	-0.024513
chr2L	788953	789715	-0.334206	-0.771726	-0.316731
chr2L	789730	790775	-0.142506	-0.297122	-0.081102
chr2L	790798	791706	-0.112216	-0.146862	-0.088144
chr2L	791885	792448	0.211904	0.157554	0.115649
chr2L	792459	793418	0.398536	0.156739	0.110321
chr2L	793440	794233	0.121023	0.249018	0.138802
chr2L	794250	795002	0.057191	0.059429	0.045551
chr2L	795019	795759	-0.186875	-0.353692	-0.128842
chr2L	795769	796449	-0.271961	-0.381616	-0.233836
chr2L	796488	797226	-0.064539	-0.079561	-0.051570
chr2L	797232	797999	-0.031002	-0.062175	-0.031327
chr2L	798028	798820	-0.076476	-0.142850	-0.050102
chr2L	798845	799166	-0.348126	-0.742862	-0.331511
chr2L	799188	799857	-0.003073	-0.004067	-0.002290
chr2L	799899	800708	0.098203	0.094621	0.072431
chr2L	800713	801346	0.002026	0.002109	0.001593
chr2L	801406	802025	-0.088863	-0.135727	-0.092951
chr2L	802026	802492	0.147465	0.143939	0.103733
chr2L	802496	803354	0.133516	0.317309	0.191309
chr2L	803406	804254	0.150026	0.267348	0.159512
chr2L	804288	805460	-0.005150	-0.010822	-0.005333
chr2L	805479	806409	0.135599	0.226811	0.162497
chr2L	806525	807373	0.009343	0.014360	0.011143
chr2L	807380	808508	-0.029845	-0.061420	-0.040180
chr2L	808529	809352	0.220595	0.529738	0.381038
chr2L	809383	810633	0.099840	0.309849	0.135834
chr2L	810639	812058	-0.150390	-0.231852	-0.112919
chr2L	812172	813387	0.247994	0.346832	0.238070
chr2L	813406	815204	0.337596	0.396746	0.277885
chr2L	815462	816948	0.158759	0.180543	0.134737
chr2L	817026	817765	0.446466	0.585112	0.385512
chr2L	817791	818627	0.282363	0.442929	0.297925
chr2L	818648	819691	0.370335	0.556959	0.488765
chr2L	819762	820477	0.192980	0.595637	0.358180
chr2L	820540	822463	0.137087	0.420943	0.226618
chr2L	822467	824089	0.344752	0.623808	0.552104
chr2L	824210	825765	-0.104250	-0.989605	-0.091748
chr2L	825775	827490	0.096918	0.111583	0.069910
chr2L	827521	828816	0.178357	0.258284	0.199709
chr2L	829077	831091	0.348022	0.444195	0.333934
chr2L	831120	832106	0.367815	0.600597	0.477369
chr2L	832149	833734	0.077321	0.101975	0.047968
chr2L	833807	835511	-0.182968	-0.486671	-0.167215
chr2L	835565	835996	-0.148378	-0.371497	-0.161461
chr2L	836065	836635	-0.205402	-0.652143	-0.225586
chr2L	836636	837433	-0.257497	-6.351383	-0.261997
chr2L	837614	838163	0.420137	0.470036	0.456702
chr2L	838169	838786	0.061658	0.231797	0.027086
chr2L	838923	839658	0.075313	0.172304	0.066644
chr2L	839664	840972	0.216663	0.294637	0.205521
chr2L	841039	841998	-0.031234	-0.054515	-0.035026
chr2L	842008	842942	-0.011168	-0.012806	-0.009254
chr2L	842986	843571	0.081395	0.169236	0.095841
chr2L	843599	844449	-0.084758	-0.118198	-0.067222
chr2L	844455	844900	-0.437027	-1.370313	-0.302008
chr2L	844975	845593	0.236632	0.588003	0.276290
chr2L	845632	846482	0.131464	0.216062	0.123185
chr2L	846558	847438	-0.036057	-0.073525	-0.035259
chr2L	847642	848595	0.030847	0.060943	0.042341
chr2L	848652	849503	-0.104576	-0.187347	-0.071855
chr2L	849517	850012	0.282363	0.342599	0.308250
chr2L	850243	850873	-0.160295	-0.111934	-0.058766
chr2L	850901	851189	0.136500	0.100900	0.087480
chr2L	851232	852193	0.091112	0.111682	0.072396
chr2L	852206	852984	-0.018520	-0.044324	-0.013519
chr2L	853096	853568	-0.271703	-0.871539	-0.162559
chr2L	853579	854539	0.266610	0.272297	0.201727
chr2L	854547	855208	-0.037499	-0.035799	-0.024682
chr2L	855212	855430	-0.235206	-2.191440	-0.405146
chr2L	855442	856104	-0.026127	-0.054123	-0.035158
chr2L	856145	856885	0.090001	0.149090	0.098688
chr2L	856923	858465	-0.107161	-0.088538	-0.062345
chr2L	858511	859117	0.109703	0.229997	0.153595
chr2L	859243	860069	0.305556	0.417491	0.266293
chr2L	860359	860797	0.124655	0.187288	0.153818
chr2L	860800	861699	-0.200254	-0.261736	-0.177994
chr2L	861755	862550	0.165986	0.170879	0.136040
chr2L	862692	863499	0.109325	0.100943	0.081868
chr2L	863613	864910	0.184783	0.094007	0.089152
chr2L	865046	865928	0.565642	0.301191	0.294614
chr2L	865955	866790	-0.284193	-0.198226	-0.151564
chr2L	866893	869438	-0.298212	-0.330499	-0.232047
chr2L	869471	870652	-0.447009	-0.375992	-0.256815
chr2L	870873	873388	-0.275534	-0.317835	-0.188186
chr2L	873393	874978	0.105039	0.072784	0.064089
chr2L	874986	876854	-0.001783	-0.002297	-0.001646
chr2L	877043	877891	-0.278284	-0.310723	-0.219363
chr2L	877954	878674	0.055615	0.043552	0.034099
chr2L	878686	879354	0.186172	0.188942	0.094082
chr2L	879395	879928	0.350737	0.240800	0.230148
chr2L	879957	880621	0.076403	0.086246	0.074267
chr2L	880699	881166	-0.076156	-0.068845	-0.051077
chr2L	881184	881729	0.144050	0.205367	0.103204
chr2L	881750	882327	-0.136102	-0.122856	-0.095317
chr2L	882453	883076	0.002846	0.001875	0.001334
chr2L	883087	883555	-0.086963	-0.114643	-0.087442
chr2L	883753	884195	0.281179	0.442618	0.264581
chr2L	884214	884855	0.051472	0.071858	0.034177
chr2L	884863	885686	-0.179834	-0.326261	-0.212187
chr2L	885738	886918	-0.413464	-0.431547	-0.216261
chr2L	886919	887868	0.197078	0.227496	0.128005
chr2L	887875	888568	0.066415	0.029166	0.021426
chr2L	888598	889427	-0.078763	-0.207857	-0.063259
chr2L	889471	890256	0.297192	0.299613	0.237479
chr2L	890308	891236	-0.081679	-0.073177	-0.049153
chr2L	891245	892147	0.098766	0.091649	0.061256
chr2L	892154	892560	0.259615	0.256725	0.161762
chr2L	892594	893301	0.179004	0.137254	0.115329
